source_category,source_index,source_id,source_name,base_name,base_vote_count,base_first_count,status,source
chara,1,1,博丽灵梦,博丽灵梦,2855,660,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,2,2,雾雨魔理沙,雾雨魔理沙,1984,345,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,3,3,露米娅,露米娅,423,45,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,4,4,大妖精,大妖精,212,9,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,5,5,琪露诺,琪露诺,1104,177,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,6,6,红美铃,红美铃,596,80,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,7,7,小恶魔,小恶魔,177,22,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,8,8,帕秋莉·诺蕾姬,帕秋莉·诺蕾姬,933,166,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,9,9,十六夜咲夜,十六夜咲夜,1710,354,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,10,10,蕾米莉亚·斯卡蕾特,蕾米莉亚·斯卡蕾特,1563,285,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,11,11,芙兰朵露·斯卡蕾特,芙兰朵露·斯卡蕾特,1321,280,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,12,12,冴月麟,冴月麟,129,12,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,13,13,蕾蒂·霍瓦特洛克,蕾蒂·霍瓦特洛克,62,4,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,14,14,橙,橙,151,14,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,15,15,爱丽丝·玛格特洛依德,爱丽丝·玛格特洛依德,1207,235,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,16,16,莉莉白,莉莉白,100,11,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,17,17,露娜萨·普莉兹姆利巴,露娜萨·普莉兹姆利巴,42,2,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,18,18,梅露兰·普莉兹姆利巴,梅露兰·普莉兹姆利巴,24,1,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,19,19,莉莉卡·普莉兹姆利巴,莉莉卡·普莉兹姆利巴,22,2,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,20,20,魂魄妖梦,魂魄妖梦,1137,223,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,21,21,西行寺幽幽子,西行寺幽幽子,1524,369,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,22,22,八云蓝,八云蓝,228,28,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,23,23,八云紫,八云紫,1500,238,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,24,24,魂魄妖忌,魂魄妖忌,39,0,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,25,25,蕾拉·普莉兹姆利巴,蕾拉·普莉兹姆利巴,19,1,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,26,26,伊吹萃香,伊吹萃香,670,100,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,27,27,莉格露·奈特巴格,莉格露·奈特巴格,42,5,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,28,28,米斯蒂娅·萝蕾拉,米斯蒂娅·萝蕾拉,153,25,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,29,29,上白泽慧音,上白泽慧音,382,32,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,30,30,因幡帝,因幡帝,155,16,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,31,31,铃仙·优昙华院·因幡,铃仙·优昙华院·因幡,936,136,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,32,32,八意永琳,八意永琳,404,45,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,33,33,蓬莱山辉夜,蓬莱山辉夜,910,150,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,34,34,藤原妹红,藤原妹红,1213,241,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,35,35,射命丸文,射命丸文,1132,226,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,36,36,梅蒂欣·梅兰可莉,梅蒂欣·梅兰可莉,69,6,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,37,37,风见幽香,风见幽香,754,133,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,38,38,小野塚小町,小野塚小町,159,13,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,39,39,四季映姬·亚玛萨那度,四季映姬·亚玛萨那度,601,97,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,40,40,秋静叶,秋静叶,77,6,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,41,41,秋穰子,秋穰子,61,3,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,42,42,键山雏,键山雏,470,88,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,43,43,河城荷取,河城荷取,192,23,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,44,44,犬走椛,犬走椛,247,39,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,45,45,东风谷早苗,东风谷早苗,1052,168,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,46,46,八坂神奈子,八坂神奈子,135,14,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,47,47,洩矢诹访子,洩矢诹访子,621,75,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,48,48,永江衣玖,永江衣玖,188,26,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,49,49,比那名居天子,比那名居天子,799,136,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,50,50,琪斯美,琪斯美,14,2,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
chara,51,51,黑谷山女,黑谷山女,14,3,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/entity/catalog/chara.json
