question_index,group,question,token,source_surfaces,cross_eligible,analytical,answer_index,answer_id,answer,expected_cohort,status,advice_path,exclusion_reason
1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,男性,6540,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_001.json,
1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,女性,1496,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_001.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,未满10岁,10,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,10-14岁,481,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,15-19岁,4752,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,20-24岁,2372,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,5,25-29岁,364,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,6,6,30-40岁,49,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,7,7,40岁以上,8,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_002.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,不到一个月,77,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,半年以内,439,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,半年到一年（2015年下半年或之后）,1370,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,一年到三年（2013年或之后）,3359,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,5,三年到五年（2011年或之后）,1816,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,6,6,五年到七年（2009年或之后）,765,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,7,7,七年到十年（2006年或之后）,185,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,8,8,十年以上,27,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_003.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,小学及以下,39,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_004.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,初中,843,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_004.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,高中,3128,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_004.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,大学及以上,3877,available_crawled,data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/advice/q_004.json,
