question_index,group,question,token,source_surfaces,cross_eligible,analytical,answer_index,answer_id,answer,expected_cohort,status,advice_path,exclusion_reason
1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,男性,6216,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_001.json,
1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,女性,1538,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_001.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,未满10岁,8,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,10-14岁,471,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,15-19岁,4545,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,20-24岁,2324,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,5,25-29岁,329,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,6,6,30-40岁,66,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,7,7,40岁以上,11,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_002.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,不到一个月,48,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,半年以内,410,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,半年到一年（2016年下半年或之后）,1214,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,一年到三年（2014年或之后）,3344,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,5,三年到五年（2012年或之后）,1691,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,6,6,五年到七年（2010年或之后）,765,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,7,7,七年到十年（2007年或之后）,249,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
3,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,8,8,十年以上,38,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_003.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,小学及以下,33,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_004.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,初中,778,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_004.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,高中,3076,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_004.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,大学及以上,3746,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_004.json,
4,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,5,其他,125,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_004.json,
5,1,您的工作类型是,9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,在校学生,6483,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_005.json,
5,1,您的工作类型是,9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,固定工作者,753,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_005.json,
5,1,您的工作类型是,9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,自由职业者,223,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_005.json,
5,1,您的工作类型是,9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,待业/无业/失业,163,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_005.json,
5,1,您的工作类型是,9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,5,其他,133,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_005.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,01,北京,544,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,02,上海,609,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,03,广东,1081,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,04,天津,165,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,05,重庆,236,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,6,06,四川,493,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,7,07,江苏,633,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,8,08,浙江,475,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,9,09,湖北,303,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,10,10,湖南,196,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,11,11,山东,383,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,12,12,山西,88,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,13,13,河北,150,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,14,14,河南,199,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,15,15,黑龙江,131,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,16,16,吉林,81,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
6,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,17,17,辽宁,165,available_crawled,data_raw/cn_official_legacy/round_06/raw/advanced/questionnaire/advice/q_006.json,
