source,table_index,table_heading,table_id,row_index,cell_index,cell_type,text,number,percent,numeric_tokens
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,0,角色部分,,0,0,td,本页面为人气投票角色部分的结果目录，请点击下面的对应项目查看详细数据。 总有效票数6365，总本命票数5358，参投角色总数138,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,1,角色部分,,0,0,td,,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,1,角色部分,,1,0,td,,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,1,角色部分,,2,0,td,,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,1,角色部分,,3,0,td,,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,1,角色部分,,4,0,td,,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,2,角色部分,,0,0,td,补充说明,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,2,角色部分,,1,0,td,东方人气投票组委会：新浪微博 电波 请注意，一切在本站之外发表的排行、分析、视频均为非官方性质。,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,3,补充说明,,0,0,td,其他信息,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,3,补充说明,,1,0,td,运营：东方Project人气投票组委会 图像： 东方Project制作方：上海爱丽丝幻乐团,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,0,角色部分,,0,0,td,本页面为人气投票角色部分的票数排行简表，点击查看详细列表，点击返回目录。 总有效票数6365，总本命票数5358，参投角色总数138,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,0,0,th,名次,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,0,1,th,角色名,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,0,2,th,票数,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,0,3,th,本命数,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,1,0,td,1,1,,[1]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,1,1,td,博丽灵梦,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,1,2,td,1728,1728,,[1728]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,1,3,td,491,491,,[491]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,2,0,td,2,2,,[2]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,2,1,td,西行寺幽幽子,,,[]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,2,2,td,1385,1385,,[1385]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,2,3,td,306,306,,[306]
data_raw/cn_official_legacy/round_01/raw/pages/chara/mod_chara__step_1.html,1,角色部分,,3,0,td,2,2,,[2]
