original_page,original_name_jp,original_name_cn,half_year,arrangement_count,source_page_url,observed_at_utc
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2006H2,2,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2007H1,1,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2008H2,1,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2009H2,2,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2010H1,1,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2010H2,8,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2011H1,7,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2011H2,7,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2012H1,7,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
53分钟的蓝色大海,53ミニッツの青い海,53分钟的蓝色大海,2012H2,7,https://thwiki.cc/53%E5%88%86%E9%92%9F%E7%9A%84%E8%93%9D%E8%89%B2%E5%A4%A7%E6%B5%B7,2026-09-04T07:18:56+00:00
