round,questionnaire_key,rate,num_complete,eligible_n
10,q25,0.23942894931341657,6155,25707
10,q21,0.33831252188119965,8697,25707
10,q11,1.0,25707,25707
10,q22,0.5727233827362197,14723,25707
10,q23,0.26899288131637294,6915,25707
10,q12,0.8288014937565643,21306,25707
10,q24,0.4064651651301202,10449,25707
10,q13,0.7386704010580776,18989,25707
11,q12,0.8519254488145813,12433,14594
11,q23,0.31444429217486636,4589,14594
11,q13,0.770042483212279,11238,14594
11,q24,0.4203097163217761,6134,14594
11,q25,0.2956694531999452,4315,14594
11,q11,1.0,14594,14594
11,q21,0.3855694120871591,5627,14594
11,q22,0.5563245169247636,8119,14594
