round,poll_period,character,rank,rank_prev,points,primary_num,comment_num,official_support_count,score_source,source_path
3,2004-10-17—2004-10-23,霧雨 魔理沙,1,,2284,785,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,魂魄 妖夢,2,,1802,490,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,十六夜 咲夜,3,,1746,585,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,西行寺 幽々子,4,,1502,406,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,鈴仙・優曇華院・イナバ,5,,1482,311,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,博麗 霊夢,6,,1391,426,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,上白沢 慧音,7,,996,204,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,レミリア・スカーレット,8,,843,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,八雲 藍,9,,809,198,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,アリス・マーガトロイド,10,,759,179,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,八雲 紫,11,,720,173,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,藤原 妹紅,12,,609,109,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,紅 美鈴,13,,532,124,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,パチュリー・ノーレッジ,14,,513,104,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,フランドール・スカーレット,15,,486,96,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,八意 永琳,16,,387,63,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,橙,17,,302,55,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,蓬莱山 輝夜,18,,298,49,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ルーミア,19,,248,51,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ルナサ・プリズムリバー,20,,246,51,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,チルノ,21,,234,53,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,因幡 てゐ,21,,234,28,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,リリーホワイト,23,,143,32,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ミスティア・ローレライ,24,,120,23,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,レティ・ホワイトロック,25,,116,25,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,魅魔,26,,68,13,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,小悪魔,27,,65,14,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,リグル・ナイトバグ,28,,64,11,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,メルラン・プリズムリバー,29,,62,6,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,リリカ・プリズムリバー,30,,45,6,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,森近 霖之助,31,,43,6,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,蓮子,32,,38,5,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,北白河 ちゆり,33,,37,10,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,幽香,34,,36,9,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,神綺,35,,29,5,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,名無しの本読み妖怪,36,,24,5,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,岡崎 夢美,37,,16,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,大妖精,38,,13,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,マイ,39,,9,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,メリー,40,,8,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ユキ,40,,8,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,エレン,42,,7,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,玄爺,42,,7,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,VIVIT,45,,6,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,ゲイツ,45,,6,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,小兎姫,45,,6,3,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,エリー,48,,5,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,毛玉,48,,5,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,朝倉 理香子,50,,4,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,エーリッヒ,51,,3,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,カナ・アナベラル,51,,3,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,上海人形,51,,3,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,くるみ,54,,2,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,マリー,54,,2,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,夢月,54,,2,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,幻月,54,,2,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,明羅,54,,2,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,その他1票項目,59,,1,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,サラ,59,,1,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
3,2004-10-17—2004-10-23,夢子,59,,1,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,霧雨 魔理沙,1,1,1301,409,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,博麗 霊夢,2,6,1245,379,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,十六夜 咲夜,3,3,1165,384,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,西行寺 幽々子,4,4,1092,312,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,アリス・マーガトロイド,5,10,919,270,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,八雲 紫,6,11,895,237,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,鈴仙・優曇華院・イナバ,7,5,891,229,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,射命丸 文,8,,886,167,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,魂魄 妖夢,9,2,877,236,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,パチュリー・ノーレッジ,10,14,743,196,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,レミリア・スカーレット,11,8,688,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,上白沢 慧音,12,7,616,149,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,フランドール・スカーレット,13,15,465,92,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,紅 美鈴,14,13,447,121,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,伊吹 萃香,15,,422,79,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,八意 永琳,16,16,387,71,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,八雲 藍,17,9,375,91,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,藤原 妹紅,18,12,367,79,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,チルノ,19,21,330,78,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,ミスティア・ローレライ,20,24,296,75,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,風見 幽香,21,34,277,51,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,ルナサ・プリズムリバー,22,20,266,65,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,小野塚 小町,23,,237,32,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,蓬莱山 輝夜,24,18,228,54,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,四季映姫・ヤマザナドゥ,25,,225,32,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,ルーミア,26,19,201,47,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,橙,27,17,157,32,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,因幡 てゐ,28,21,155,25,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,小悪魔,29,27,148,30,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,リリーホワイト,30,23,141,33,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,森近 霖之助,31,31,139,22,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,上海人形,32,51,108,16,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,リグル・ナイトバグ,33,28,100,24,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,メディスン・メランコリー,34,,93,14,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,神綺,35,35,91,18,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,宇佐見蓮子,36,32,90,21,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,レティ・ホワイトロック,37,25,66,10,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,メルラン・プリズムリバー,38,29,58,13,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,魅魔,39,26,44,9,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,大妖精,40,38,43,10,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,リリカ・プリズムリバー,41,30,42,7,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,マエリベリー・ハーン,42,40,25,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,北白河 ちゆり,43,33,21,6,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,毛玉,44,48,19,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,名無しの本読み妖怪,45,36,18,4,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,魂魄 妖忌,45,59,18,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,レイラ・プリズムリバー,47,,14,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,岡崎 夢美,48,37,12,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,スターサファイア,49,,11,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,カナ・アナベラル,50,51,9,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,夢子,50,59,9,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,小兎姫,50,45,9,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,ルナチャイルド,53,,7,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,エレン,54,42,6,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,サニーミルク,54,,6,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,ザコ妖精,54,,6,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,朝倉 理香子,54,50,6,2,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,里香,58,,5,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,マイ,59,39,4,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,幻月,59,54,4,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,エリー,61,48,3,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,サリエル,61,,3,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,化け化け,61,,3,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,夢月,61,54,3,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,玄爺,61,42,3,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,るーこと,66,,2,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,大ガマ,66,,2,1,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,くるみ,68,45,1,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,オレンジ,68,,1,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,ルイズ,68,,1,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
4,2005-12-18—2005-12-24,明羅,68,54,1,0,,,legacy_official_html_table,data_raw/jp_official_legacy/round_04/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,博麗 霊夢,1,2,3927,881,1132,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,霧雨 魔理沙,2,1,3867,844,1119,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,射命丸 文,3,8,3774,648,1121,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,十六夜 咲夜,4,3,3154,631,933,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,レミリア・スカーレット,5,11,3083,582,927,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,西行寺 幽々子,6,4,2973,661,823,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,八雲 紫,7,6,2887,561,861,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,アリス・マーガトロイド,8,5,2574,598,713,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,藤原 妹紅,9,18,2544,425,789,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,フランドール・スカーレット,10,13,2497,400,761,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,パチュリー・ノーレッジ,11,10,2474,518,694,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,魂魄 妖夢,12,9,2169,425,663,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,東風谷 早苗,13,,2135,335,638,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,八雲 藍,14,17,2119,379,730,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,チルノ,15,19,2075,379,747,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,洩矢 諏訪子,16,,1987,245,617,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,上白沢 慧音,17,12,1830,319,558,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,四季映姫・ヤマザナドゥ,18,25,1586,211,465,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,紅 美鈴,19,14,1521,266,505,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,風見 幽香,20,21,1517,263,471,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,鈴仙・優曇華院・イナバ,21,7,1489,236,423,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,伊吹 萃香,22,15,1454,179,461,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,蓬莱山 輝夜,23,24,1342,233,431,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,八意 永琳,24,16,1298,171,411,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,鍵山 雛,25,,1092,108,371,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,河城 にとり,26,,934,86,297,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,橙,27,27,920,102,312,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,小野塚 小町,28,23,855,87,265,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,犬走 椛,29,,848,83,293,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,ミスティア・ローレライ,30,20,815,135,279,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,ルナサ・プリズムリバー,31,22,808,135,259,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,八坂 神奈子,32,,773,100,299,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,因幡 てゐ,33,28,744,89,234,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,ルーミア,34,26,661,92,239,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,森近 霖之助,35,31,659,104,251,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,魅魔,36,39,525,61,221,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,宇佐見蓮子,37,36,504,72,185,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,小悪魔,38,29,455,53,138,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,レティ・ホワイトロック,39,37,452,78,157,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,稗田 阿求,40,,413,42,133,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,リグル・ナイトバグ,41,33,410,73,139,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,神綺,42,35,320,23,117,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,メディスン・メランコリー,43,34,306,42,97,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,リリカ・プリズムリバー,44,41,252,33,110,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,大妖精,45,40,238,28,78,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,リリーホワイト,46,30,231,33,88,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
5,2008-02-10—2008-02-16,ルナチャイルド,47,53,222,10,91,,legacy_official_html_table,data_raw/jp_official_legacy/round_05/aggregate/result_char.html.tables.json
