keyword,tfidf
梦符,0.2976566410769242
夢符,0.27475997637869926
下仆哆来咪,0.2106093994294138
苏伊特,0.19464123849994325
故事模式专用,0.1913130815707356
哆来咪,0.14111489791245885
必,0.12760116879250077
杀,0.12760116879250077
食梦,0.0994786818739684
造梦程度的能力,0.0994786818739684
永远的春梦,0.0994786818739684
里,0.08464645916578604
海豚,0.0816438855861679
羊符,0.07460901140547631
doremy,0.07460901140547631
catcher,0.07460901140547631
梦境世界,0.07114308205235308
击,0.07088953821805599
dream,0.06815238301747474
主役比那名居天子,0.06449038447895643
nightmare,0.05857136716815494
在,0.05839237154998297
香霖堂,0.057663290244083606
射,0.05671163057444479
查看日文原文,0.05441109363339825
弹幕梦1,0.05111215108682028
chimera,0.0497393409369842
123,0.0497393409369842
在梦中再现了月之都,0.0497393409369842
貘,0.0497393409369842
她能够消灭,0.0497393409369842
创造,0.0497393409369842
看守着,0.0497393409369842
为了防止梦境世界的居民因为完全凭依被赶出住所后在,0.0497393409369842
提示迷失于梦境的梦境堇子,0.0497393409369842
梦之支配者,0.0497393409369842
永遠の春夢,0.0497393409369842
使人做梦的妖怪,0.0497393409369842
支配梦境之貘,0.0497393409369842
刈安色的错综迷梦,0.0497393409369842
ドリームキャッチャー,0.0497393409369842
超特急,0.0497393409369842
在最后的周日所做的噩梦,0.0497393409369842
东方凭依华,0.04866030962498581
东方绀珠传,0.04866030962498581
幺乐团的历史,0.04866030962498581
绀珠传,0.04620243429884614
面符,0.045793329396449874
梦魂,0.045793329396449874
超能力,0.045793329396449874
