source,table_index,table_heading,table_id,row_index,cell_index,cell_type,text,number,percent,numeric_tokens
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,0,投票说明,,0,0,td,本页面为人气投票角色部分的结果目录，请点击下面的对应项目查看详细数据。 总有效票数5908，总本命票数5151，参投角色总数152,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,1,投票说明,,0,0,td,,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,1,投票说明,,1,0,td,,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,1,投票说明,,2,0,td,,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,2,投票说明,,0,0,td,补充说明,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,2,投票说明,,1,0,td,东方人气投票组委会：新浪微博 请注意，一切在本站之外发表的排行、分析、视频均为非官方性质。,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,3,补充说明,,0,0,td,其他信息,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,3,补充说明,,1,0,td,运营：东方Project人气投票组委会 东方Project制作方：上海爱丽丝幻乐团,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,0,角色部分,,0,0,td,本页面为角色部分的票数排行详表，点击表头可排序，点项目名可展开详情，点击这里返回目录。本命加权是指1本命票计算为2票。 总有效票数5908，总本命票数5151，参投角色总数152,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,0,th,名次,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,1,th,角色名,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,2,th,票数,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,3,th,本命数,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,4,th,本命率,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,5,th,本命加权,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,6,th,票数占比,,,[]
data_raw/cn_official_legacy/round_02/raw/pages/chara/m_1__s_1.html,1,角色部分,stable,0,7,th,本命占比,,,[]
