question_index,group,question,token,source_surfaces,cross_eligible,analytical,answer_index,answer_id,answer,expected_cohort,status,advice_path,exclusion_reason
1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,男性,7009,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_001.json,
1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,女性,1343,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_001.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,未满10岁,9,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,2,2,10-14岁,309,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,3,3,15-19岁,4338,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,4,4,20-24岁,3162,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,5,5,25-29岁,463,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,6,6,30-40岁,66,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_002.json,
2,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl82019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,7,7,40岁以上,5,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_002.json,
3,1,您正式接触东方Project多久,eba7afdfc227577a7ff0c299b7e7bYd0zSJ62019,paper_cross;chara_ranking_filter;music_ranking_filter,True,True,1,1,不到一个月,54,available_crawled,data_raw/cn_official_legacy/round_08/raw/advanced/questionnaire/advice/q_003.json,
