condition_family,source_category,condition_kind,source_index,source_id,source_name,expected_cohort,target_category,status,row_count,url,raw_path,processed_path,error,expected_cohort_source,total_effective_votes,total_first_votes,filtered_entity_count,actual_entity_count,mean_votes,median_votes,official_filter_description
entity_vote,chara,any,1,1,博丽灵梦,4038,chara,available_crawled,174,https://touhou.vote/v9/?m=chara&type=simple&votetype=chara&voteid=1&votetrue=0,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/any/source_0001/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/any/source_0001/target_chara.json.gz,,official unfiltered simple ranking,,,,229,,,<b>在角色部门中投了 博丽灵梦</b>（本命票要求：否）
entity_vote,chara,any,1,1,博丽灵梦,4038,music,available_crawled,481,https://touhou.vote/v9/?m=music&type=simple&votetype=chara&voteid=1&votetrue=0,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/any/source_0001/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/any/source_0001/target_music.json.gz,,official unfiltered simple ranking,,,,571,,,<b>在角色部门中投了 博丽灵梦</b>（本命票要求：否）
entity_vote,chara,first,1,1,博丽灵梦,718,chara,available_crawled,143,https://touhou.vote/v9/?m=chara&type=simple&votetype=chara&voteid=1&votetrue=1,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/first/source_0001/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/first/source_0001/target_chara.json.gz,,official unfiltered simple ranking,,,,229,,,<b>在角色部门中投了 博丽灵梦</b>（本命票要求：是）
entity_vote,chara,first,1,1,博丽灵梦,718,music,available_crawled,359,https://touhou.vote/v9/?m=music&type=simple&votetype=chara&voteid=1&votetrue=1,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/first/source_0001/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/first/source_0001/target_music.json.gz,,official unfiltered simple ranking,,,,571,,,<b>在角色部门中投了 博丽灵梦</b>（本命票要求：是）
entity_vote,chara,any,2,2,雾雨魔理沙,3660,chara,available_crawled,176,https://touhou.vote/v9/?m=chara&type=simple&votetype=chara&voteid=2&votetrue=0,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/any/source_0002/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/any/source_0002/target_chara.json.gz,,official unfiltered simple ranking,,,,229,,,<b>在角色部门中投了 雾雨魔理沙</b>（本命票要求：否）
entity_vote,chara,any,2,2,雾雨魔理沙,3660,music,available_crawled,483,https://touhou.vote/v9/?m=music&type=simple&votetype=chara&voteid=2&votetrue=0,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/any/source_0002/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/any/source_0002/target_music.json.gz,,official unfiltered simple ranking,,,,571,,,<b>在角色部门中投了 雾雨魔理沙</b>（本命票要求：否）
entity_vote,chara,first,2,2,雾雨魔理沙,696,chara,available_crawled,138,https://touhou.vote/v9/?m=chara&type=simple&votetype=chara&voteid=2&votetrue=1,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/first/source_0002/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/first/source_0002/target_chara.json.gz,,official unfiltered simple ranking,,,,229,,,<b>在角色部门中投了 雾雨魔理沙</b>（本命票要求：是）
entity_vote,chara,first,2,2,雾雨魔理沙,696,music,available_crawled,340,https://touhou.vote/v9/?m=music&type=simple&votetype=chara&voteid=2&votetrue=1,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/first/source_0002/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/first/source_0002/target_music.json.gz,,official unfiltered simple ranking,,,,571,,,<b>在角色部门中投了 雾雨魔理沙</b>（本命票要求：是）
entity_vote,chara,any,3,3,露米娅,542,chara,available_crawled,146,https://touhou.vote/v9/?m=chara&type=simple&votetype=chara&voteid=3&votetrue=0,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/any/source_0003/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/any/source_0003/target_chara.json.gz,,official unfiltered simple ranking,,,,229,,,<b>在角色部门中投了 露米娅</b>（本命票要求：否）
entity_vote,chara,any,3,3,露米娅,542,music,available_crawled,342,https://touhou.vote/v9/?m=music&type=simple&votetype=chara&voteid=3&votetrue=0,data_raw/cn_official_legacy/round_09/raw/advanced/entity/conditions/chara/any/source_0003/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/entity/conditions/chara/any/source_0003/target_music.json.gz,,official unfiltered simple ranking,,,,571,,,<b>在角色部门中投了 露米娅</b>（本命票要求：否）
