condition_family,question_index,question_group,question,question_token,answer_index,answer_id,answer,expected_cohort,target_category,status,row_count,url,raw_path,processed_path,error,expected_cohort_source,total_effective_votes,total_first_votes,filtered_entity_count,actual_entity_count,mean_votes,median_votes,official_filter_description
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,1,1,男性,9955,chara,available_crawled,208,https://touhou.vote/v9/?m=chara&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=1,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_001/a_001/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_001/a_001/target_chara.json.gz,,official aggregate questionnaire APIs,,,,229,,,<b>您的性别→男性</b>
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,1,1,男性,9955,music,available_crawled,529,https://touhou.vote/v9/?m=music&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=1,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_001/a_001/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_001/a_001/target_music.json.gz,,official aggregate questionnaire APIs,,,,571,,,<b>您的性别→男性</b>
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,2,2,女性,1719,chara,available_crawled,174,https://touhou.vote/v9/?m=chara&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=2,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_001/a_002/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_001/a_002/target_chara.json.gz,,official aggregate questionnaire APIs,,,,229,,,<b>您的性别→女性</b>
questionnaire_answer,1,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,2,2,女性,1719,music,available_crawled,469,https://touhou.vote/v9/?m=music&type=simple&quest=9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c&item=2,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_001/a_002/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_001/a_002/target_music.json.gz,,official aggregate questionnaire APIs,,,,571,,,<b>您的性别→女性</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,1,1,未满10岁,27,chara,available_crawled,69,https://touhou.vote/v9/?m=chara&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=1,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_001/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_001/target_chara.json.gz,,official aggregate questionnaire APIs,,,,229,,,<b>您的年龄阶段→未满10岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,1,1,未满10岁,27,music,available_crawled,86,https://touhou.vote/v9/?m=music&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=1,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_001/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_001/target_music.json.gz,,official aggregate questionnaire APIs,,,,571,,,<b>您的年龄阶段→未满10岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,2,2,10-14岁,540,chara,available_crawled,163,https://touhou.vote/v9/?m=chara&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=2,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_002/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_002/target_chara.json.gz,,official aggregate questionnaire APIs,,,,229,,,<b>您的年龄阶段→10-14岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,2,2,10-14岁,540,music,available_crawled,365,https://touhou.vote/v9/?m=music&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=2,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_002/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_002/target_music.json.gz,,official aggregate questionnaire APIs,,,,571,,,<b>您的年龄阶段→10-14岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,3,3,15-19岁,6512,chara,available_crawled,196,https://touhou.vote/v9/?m=chara&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=3,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_003/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_003/target_chara.json.gz,,official aggregate questionnaire APIs,,,,229,,,<b>您的年龄阶段→15-19岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,3,3,15-19岁,6512,music,available_crawled,520,https://touhou.vote/v9/?m=music&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=3,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_003/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_003/target_music.json.gz,,official aggregate questionnaire APIs,,,,571,,,<b>您的年龄阶段→15-19岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,4,4,20-24岁,3950,chara,available_crawled,192,https://touhou.vote/v9/?m=chara&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=4,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_004/target_chara.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_004/target_chara.json.gz,,official aggregate questionnaire APIs,,,,229,,,<b>您的年龄阶段→20-24岁</b>
questionnaire_answer,2,1,您的年龄阶段,2d3f1fec929088bsdwe2bb901ab5LidwhSl82020,4,4,20-24岁,3950,music,available_crawled,488,https://touhou.vote/v9/?m=music&type=simple&quest=2d3f1fec929088bsdwe2bb901ab5LidwhSl82020&item=4,data_raw/cn_official_legacy/round_09/raw/advanced/questionnaire/conditions/q_002/a_004/target_music.html.gz,data_raw/cn_official_legacy/round_09/processed/advanced/questionnaire/conditions/q_002/a_004/target_music.json.gz,,official aggregate questionnaire APIs,,,,571,,,<b>您的年龄阶段→20-24岁</b>
